product_id,asins,brand,categories,dateAdded,dateUpdated,ean,keys,manufacturer,manufacturerNumber,name,upc,weight,text_reviews_count,ratings_count,avarage_rate,id
AV4GShTMvKc47QAVrFsX,B071ZVQVFQ,Samsung,"LED & LCD TVs,All TVs,Refurbished TVs,TV & Video,Electronics,Shop TVs by Type,Television & Video,Televisions,TVs Entertainment",2017-08-21T19:34:31Z,2018-06-05T22:34:48Z,,"841434197719,samsung40classfhd1080psmartledtvun40m5300/564823696,samsung40classfhd1080psmartledtvun40m5300/567138282,samsungun40m5300afxzaflat40led1920x1080p5seriessmarttv2017withflattiltwallmountbundletwo26foothdmicablessixoutletsurgeadapter/564823696,samsungelectronicsun40m5300afxzaflat40led1920x1080p5seriessmarttv2017/b071zvqvfq,samsungelectronicsun40m5300a40inch1080psmartledtv2017model/b071zvqvfq,m5300series40classfullhdsmartledtv/saun40m5300,887276222332,refurbishedsamsung40classfhd1080psmartledtvun40m5300/567138282,752830434127,samsung/un40m5300afxza,samsungelectronicsun40m5300afxzaflat40led1920x1080psmarttv2017/b071zvqvfq",,UN40M5300AFXZA,SAMSUNG 40'' Class FHD (1080P) Smart LED TV (UN40M5300),8.87E+11,246.4,154,154,4.3,146
AVphUeKeilAPnD_x3-Be,B001AVRD62,Yamaha,"Surround Speakers,Electronics Features,Surround Sound Systems,Frys,Electronics,All Home Theater Systems,TVs Entertainment,Speakers,Home Audio & Theater,Home Electronics,TV Sound Systems rxxbwxxcscxuvutetd,Home & Kitchen Features,Home Theater Systems,Audio Speakers,TV Sound Systems,Home Audio,Home Theater,Electrical,Audio",2015-07-03T18:36:05Z,2018-06-07T01:25:37Z,27108105321,"nssp1800bl51channelhometheatersystemblack/yanssp1800bl,nssp1800bl51channelhometheatersystemblack/4452997,nssp1800bl51channelhometheatersystemblack/550726013,nssp1800bl51channelhometheatersystemblack/1306813820,799665006693,nssp1800bl51channelhometheatersystemblack/b001avrd62,027108105321,0027108105321,yamaha/nssp1800bl",YAMAHA,NS-SP1800BL,NS-SP1800BL 5.1-Channel Home Theater System (Black),27108105321,299.2,1604,1604,3.9,333
AVpf0Nyo1cnluZ0-rzhu,B00TVFO08S,Bose,"Surround Speakers,TV, Video & Home Audio,Surround Sound Systems,Electronics,All Home Theater Systems,TVs Entertainment,Speakers,Consumer Electronics,Home Theater Systems,TV Sound Systems,Audio & Home Theatre,Home Audio,Audio",2015-05-11T12:31:02Z,2018-06-07T01:25:37Z,,"acoustimass6seriesvhometheaterspeakersystemblack/boacm6svhts,acoustimass6seriesvhometheaterspeakersystemblack/182715469802,bose/7209601100,017817664585,acoustimass6seriesvhometheaterspeakersystemblack/b00tvfo08s,acoustimass6seriesvhometheaterspeakersystemblack/4368058",Bose,720960-1100,Acoustimass 6 Series V Home Theater Speaker System (Black),17817664585,18.88,48,40,3.9,111
AVqlHaLknnc1JgDc3m5y,B01KUAMCWI,Logitech,"Computers,Mice & Mice Pads,Computer Accessories,Computer Accessories & Peripherals,Keyboards, Mice & Joysticks,Electronics,Gaming Mice & Mice Pads,Accessories,Mice & Keyboards,Video Games,Gaming Mice,Computers & Tablets,Mice,Wireless & Bluetooth Mice",2017-03-06T19:34:27Z,2018-05-28T23:48:40Z,,"logitech/910004797,097855121868,logitechgg403prodigywirelessopticalgamingmouseblack/5705510,logitechg403wirelessgamingmousewithhighperformancegamingsensor/b01kuamcwi",,910-004797,Logitech G403 Wireless Gaming Mouse with High Performance Gaming Sensor,97855121868,3.68,40,40,3.9,222
AVpjedgc1cnluZ0-W4NI,B01CEAT9ZU,Sony,"Electronics,CD Players & Digital Media Receivers,Car Electronics,Motors,Marine Stereos,CD Players,Fishing,Car Audio,Automotive,Car & Vehicle Electronics,Car Stereo Receivers,Digital Media Receivers,Outdoor Sports,Marine Electronics,Car Electronics & GPS",2016-05-31T15:22:25Z,2018-05-28T23:58:46Z,27242896000,"0027242896000,sony/mexm100bt,sonymexm100bt160wrmsmarinecdreceiverwithbluetoothblacksiriusxmready/b01ceat9zu,027242896000,sonyindashcddmreceiverbuiltinbluetoothsatelliteradioreadywithdetachablefaceplateblack/5495318,sonyindashcddmreceiverbuiltinbluetoothsatelliteradioreadywithdetachablefaceplateblack/b01ceat9zu",Sony,MEXM100BT,Sony MEXM100BT 160W RMS Marine CD Receiver with Bluetooth (Black) and SiriusXM Ready,27242896000,76.64,82,75,4.5,444
AVsRhL-fQMlgsOJE6zvB,"B01MUG578I,B072MP2CFG",Sony,"Portable Bluetooth Speakers,Audio Docks & Mini Speakers,Bluetooth & Wireless Speakers,Portable Audio & Headphones,Portable Audio & Video,Electronics,Portable Audio,Portable Wireless & Bluetooth Speakers,Speakers,Home Audio & Theater,Wireless Home Speakers,Mobile,iPod, Audio Player Accessories,Consumer Electronics,Mobile Bluetooth Speakers,Wireless and Bluetooth Speakers,UNNAV,Portable Speakers & Docks,Audio,Mobile Speakers,All Bluetooth & Wireless Speakers",2017-03-27T20:46:04Z,2018-05-29T17:19:12Z,,"sonysrsxb30blkxb30portablewirelessspeakerwithbluetooth/b01mug578i,027242902695,sonyxb30portablebluetoothspeakerblack/272855583204,sonyxb30portablebluetoothspeakerblack/311881660787,sony/srsxb30blk,sonyxb30portablebluetoothspeakerblack/b072mp2cfg,sonyxb30portablebluetoothspeakerblack/b01mug578i,sonyxb30portablebluetoothspeakerblack/5744203,sonyxb30portablebluetoothspeakerblack/282573811327,sonyxb30portablebluetoothspeakerblack/564734192,sonyxb30portablebluetoothspeakerblack/sosrsxb30b",,SRSXB30/BLK,Sony SRSXB30/BLK XB30 Portable Wireless Speaker with Bluetooth,27242902695,48,84,80,4.6,555
AVpfuJ4pilAPnD_xhDyM,B00IWQ3YPC,Sony,"Electronics,Home Audio & Theater,Home Theater,Home Theater Systems,Consumer Electronics,Portable Audio & Headphones,iPod, Audio Player Accessories,Audio Docks & Mini Speakers,TVs Entertainment,Tabletop Audio,Mini Hi-Fi Systems,Audio,Home Audio,Stereo Shelf Systems,Frys,Shelf Systems,CD Players,Portable Audio",2015-10-23T05:53:30Z,2018-02-13T20:04:13Z,,"sonylbtgpx555minisystemwithbluetoothnfc/331874713008,sonylbtgpx555minisystemwithbluetoothnfc/8038037,sonylbtgpx555minisystemwithbluetoothnfc/554400095,sonylbtgpx555minisystemwithbluetoothnfc/9sia0aj3md4812,027242875340,sonylbtgpx555minisystemwithbluetoothnfc/b00iwq3ypc,sony/lbtgpx555,sonylbtgpx555minisystemwithbluetoothnfc/solbtgpx555",Sony,LBTGPX555,Sony LBT-GPX555 Mini-System with Bluetooth and NFC,27242875340,190.4,44,44,4.7,666
AVpg59zyilAPnD_xyv3y,B000O3TFWW,Yamaha,"In-Wall & In-Ceiling Speakers,Electronics,In-Ceiling Speakers,TVs Entertainment,Speakers,Home Audio & Theater,All Home Speakers,Install Outdoor Speakers wbdadzefwwsbvcrtwtvxqqdxsqdwtdtrwt,Home Audio,Install Outdoor Speakers,In-Wall and In-Ceiling Speakers,Audio,all electronics",2014-10-29T11:41:58Z,2018-06-07T01:26:36Z,,"nsiw480cwhinceiling8naturalsoundthreewayspeakersystempair/yansiw480cwh,yamahansiw480cwh3wayinceilingspeakersystemwhite/b000o3tfww,027108105000,yamaha/nsiw480cwh,yamaha83wayinceilingspeakerspairwhite/8285884,yamahansiw480cwh83wayinceilingspeakersystemwhite/b000o3tfww,yamahansiw480cwh83wayinceilingspeakersystemwhite/553501954,yamaha/nsiw480cw",Yamaha,NS-IW480CWH,NS-IW480CWH In-Ceiling 8 Natural Sound Three-Way Speaker System (Pair),27108105000,73.6,97,97,4.8,777
AVpgGPyq1cnluZ0-wbTJ,B00LIL7YVI,Motorola,"Electronics,Cameras & Camcorders,All Camcorders,Home, Garage & Office,Pet Supplies & Technology,Pet Cameras & Technology,Wearable Pet Cameras,Computers & Accessories,Computer Accessories & Peripherals,Audio & Video Accessories,Webcams,Housewares,Pet Cameras,Dog,Training Aids,Training & Behavior,Networking,Computers,Routers,pet,Security & Surveillance,Surveillance Video Equipment,Security Monitors & Displays",2015-05-11T12:38:42Z,2018-01-03T07:26:25Z,8.16E+11,"0816479012303,motorolawifipetvideocamera/4556600,816479012303,motorolawifipetvideocamera/554756472,motorolawifipetvideocamera/2399369,motorolawifipetvideocamera/b00lil7yvi,motorola/scout66",Motorola,SCOUT66,Motorola Wi-Fi Pet Video Camera,8.16E+11,13.6,101,83,4.6,888
AVpjI0B41cnluZ0-T5TH,"B00170HCOO,B001BBT7RY,B00170O1HK",Definitive Technology,"Outdoor Speakers,Electronics Features,Electronics,TVs Entertainment,Speakers,Install Outdoor Speakers,Home Audio,Home Audio & Theater,Audio,All Home Speakers",2015-07-06T11:58:28Z,2018-06-05T22:49:26Z,93207057342,"openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/9sia3jx1uk9967,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/b00170o1hk,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/8819291,aw6500allweatheroutdoorspeakerwhitesingle/deaw6500wh,093207057342,0093207057342,definitivetechnology/aw6500wob,definitivetechnology/necb,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/b001bbt7ry,openboxlikenewdefinitivetechnologyaw6500200wrmsspeaker3waywhite/b00170hcoo,5years/aw6500wob",5 Years,NECB,"AW6500 All-Weather Outdoor Speaker (White, Single)",93207057342,147.2,162,162,4.5,999
AVpiFC-LilAPnD_xAgKu,B0038NMC8O,Alpine,"Auto & Tires,Auto Electronics,Car Speakers and Subwoofers,6.5\\ Car Speakers,All Car Speakers & Subwoofers,Car Electronics & GPS,Car Audio,Car Speakers,Electronics,Car & Vehicle Electronics,Car Electronics,Speakers,Coaxial Speakers",2015-11-09T01:49:20Z,2018-05-02T14:14:33Z,,"alpine/spe6000,alpine6122waycoaxialcarspeakerswithpolypropyleneconespairblack/b0038nmc8o,alpine6122waycoaxialcarspeakerswithpolypropyleneconespairblack/1416147,793276601483",,SPE-6000,"Alpine - 6-1/2"" 2-Way Coaxial Car Speakers with Polypropylene Cones (Pair) - Black",7.93E+11,83.2,107,107,4.8,110
